warehouse name,date,storage,next_day_storage,lstm,mambar,count
SC10,10/10/2023,29141,29141,29141,29141,71
SC10,10/11/2023,29914,29914,29914,29914,72
SC10,10/12/2023,28094,28094,28094,28094,73
SC10,10/13/2023,30385,30385,30385,30385,74
SC10,10/14/2023,31416,31416,31416,31416,75
SC10,10/15/2023,29662,29662,29662,29662,76
SC10,10/16/2023,31044,31044,31044,31044,77
SC10,10/17/2023,32167,32167,32167,32167,78
SC10,10/18/2023,34503,34503,34503,34503,79
SC10,10/19/2023,34279,34279,34279,34279,80
SC10,10/20/2023,34464,34464,34464,34464,81
SC10,10/21/2023,33897,33897,33897,33897,82
SC10,10/22/2023,33256,33256,33256,33256,83
SC10,10/23/2023,34390,34390,34390,34390,84
SC10,10/24/2023,38214,38214,38214,38214,85
SC10,10/25/2023,42661,42661,42661,42661,86
SC10,10/26/2023,39431,39431,39431,39431,87
SC10,10/27/2023,38084,38084,38084,38084,88
SC10,10/28/2023,39733,39733,39733,39733,89
SC10,10/29/2023,35983,35983,35983,35983,90
SC10,10/30/2023,35811,35811,35811,35811,91
SC10,10/31/2023,39608,39608,39608,39608,92
SC10,11/1/2023,56065,56065,56065,56065,93
SC10,11/2/2023,56182,56182,56182,56182,94
SC10,11/3/2023,52988,52988,52988,52988,95
SC10,11/4/2023,45587,45587,45587,45587,96
SC10,11/5/2023,37583,37583,37583,37583,97
SC10,11/6/2023,36970,36970,36970,36970,98
SC10,11/7/2023,41142,41142,41142,41142,99
SC10,11/8/2023,38895,38895,38895,38895,100
SC10,11/9/2023,39553,39553,39553,39553,101
SC10,11/10/2023,42631,42631,42631,42631,102
SC10,11/11/2023,62147,62147,62147,62147,103
SC10,11/12/2023,65150,65150,65150,65150,104
SC10,11/13/2023,57625,57625,57625,57625,105
SC10,11/14/2023,54883,54883,54883,54883,106
SC10,11/15/2023,44352,44352,44352,44352,107
SC10,11/16/2023,44099,44099,44099,44099,108
SC10,11/17/2023,45782,45782,45782,45782,109
SC10,11/18/2023,42261,42261,42261,42261,110
SC10,11/19/2023,39593,39593,39593,39593,111
SC10,11/20/2023,42166,42166,42166,42166,112
SC10,11/21/2023,43146,43146,43146,43146,113
SC10,11/22/2023,42839,42839,42839,42839,114
SC10,11/23/2023,43155,43155,43155,43155,115
SC10,11/24/2023,41172,41172,41172,41172,116
SC10,11/25/2023,38895,38895,38895,38895,117
SC10,11/26/2023,39039,39039,39039,39039,118
SC10,11/27/2023,37856,37856,37856,37856,119
SC10,11/28/2023,38005,38005,38005,38005,120
SC10,11/29/2023,40407,40407,40407,40407,121
SC10,11/30/2023,39418,39418,39418,39418,122
SC12,8/1/2023,3408,,,,1
SC12,8/2/2023,3663,3663,3663,3663,2
SC12,8/3/2023,3710,3710,3710,3710,3
SC12,8/4/2023,3592,3592,3592,3592,4
SC12,8/5/2023,3379,3379,3379,3379,5
SC12,8/6/2023,3361,3361,3361,3361,6
SC12,8/7/2023,3475,3475,3475,3475,7
SC12,8/8/2023,3784,3784,3784,3784,8
SC12,8/9/2023,4204,4204,4204,4204,9
SC12,8/10/2023,3699,3699,3699,3699,10
SC12,8/11/2023,3690,3690,3690,3690,11
SC12,8/12/2023,3341,3341,3341,3341,12
SC12,8/13/2023,3175,3175,3175,3175,13
SC12,8/14/2023,3757,3757,3757,3757,14
SC12,8/15/2023,3201,3201,3201,3201,15
SC12,8/16/2023,4768,4768,4768,4768,16
SC12,8/17/2023,3886,3886,3886,3886,17
SC12,8/18/2023,3909,3909,3909,3909,18
SC12,8/19/2023,3882,3882,3882,3882,19
SC12,8/20/2023,3817,3817,3817,3817,20
SC12,8/21/2023,4148,4148,4148,4148,21
SC12,8/22/2023,3986,3986,3986,3986,22
SC12,8/23/2023,3985,3985,3985,3985,23
SC12,8/24/2023,4076,4076,4076,4076,24
SC12,8/25/2023,4487,4487,4487,4487,25
SC12,8/26/2023,4436,4436,4436,4436,26
SC12,8/27/2023,4045,4045,4045,4045,27
SC12,8/28/2023,4383,4383,4383,4383,28
SC12,8/29/2023,3954,3954,3954,3954,29
SC12,8/30/2023,3954,3954,3954,3954,30
SC12,8/31/2023,4028,4028,4028,4028,31
SC12,9/1/2023,4216,4216,4216,4216,32
SC12,9/2/2023,3981,3981,3981,3981,33
SC12,9/3/2023,3781,3781,3781,3781,34
SC12,9/4/2023,3917,3917,3917,3917,35
SC12,9/5/2023,4729,4729,4729,4729,36
SC12,9/6/2023,4495,4495,4495,4495,37
SC12,9/7/2023,3974,3974,3974,3974,38
SC12,9/8/2023,4104,4104,4104,4104,39
SC12,9/9/2023,3740,3740,3740,3740,40
SC12,9/10/2023,3726,3726,3726,3726,41
SC12,9/11/2023,3849,3849,3849,3849,42
SC12,9/12/2023,4188,4188,4188,4188,43
SC12,9/13/2023,3864,3864,3864,3864,44
SC12,9/14/2023,4067,4067,4067,4067,45
SC12,9/15/2023,3989,3989,3989,3989,46
SC12,9/16/2023,3725,3725,3725,3725,47
SC12,9/17/2023,3871,3871,3871,3871,48
SC12,9/18/2023,4039,4039,4039,4039,49
SC12,9/19/2023,465,465,465,465,50
SC12,9/20/2023,6310,6310,6310,6310,51
SC12,9/21/2023,4828,4828,4828,4828,52
SC12,9/22/2023,3924,3924,3924,3924,53
SC12,9/23/2023,3678,3678,3678,3678,54
SC12,9/24/2023,3753,3753,3753,3753,55
SC12,9/25/2023,3915,3915,3915,3915,56
SC12,9/26/2023,3852,3852,3852,3852,57
SC12,9/27/2023,3506,3506,3506,3506,58
SC12,9/28/2023,3338,3338,3338,3338,59
SC12,9/29/2023,3069,3069,3069,3069,60
SC12,9/30/2023,3202,3202,3202,3202,61
SC12,10/1/2023,3262,3262,3262,3262,62
SC12,10/2/2023,3075,3075,3075,3075,63
SC12,10/3/2023,3245,3245,3245,3245,64
SC12,10/4/2023,3475,3475,3475,3475,65
SC12,10/5/2023,3777,3777,3777,3777,66
SC12,10/6/2023,3993,3993,3993,3993,67
SC12,10/7/2023,4514,4514,4514,4514,68
SC12,10/8/2023,4498,4498,4498,4498,69
SC12,10/9/2023,4329,4329,4329,4329,70
SC12,10/10/2023,4134,4134,4134,4134,71
SC12,10/11/2023,4072,4072,4072,4072,72
SC12,10/12/2023,3887,3887,3887,3887,73
SC12,10/13/2023,4140,4140,4140,4140,74
SC12,10/14/2023,3942,3942,3942,3942,75
SC12,10/15/2023,3535,3535,3535,3535,76
SC12,10/16/2023,4847,4847,4847,4847,77
SC12,10/17/2023,4219,4219,4219,4219,78
SC12,10/18/2023,4125,4125,4125,4125,79
SC12,10/19/2023,3970,3970,3970,3970,80
SC12,10/20/2023,4133,4133,4133,4133,81
SC12,10/21/2023,3677,3677,3677,3677,82
SC12,10/22/2023,3362,3362,3362,3362,83
SC12,10/23/2023,3690,3690,3690,3690,84
SC12,10/24/2023,12461,12461,12461,12461,85
SC12,10/25/2023,7633,7633,7633,7633,86
SC12,10/26/2023,6929,6929,6929,6929,87
SC12,10/27/2023,6161,6161,6161,6161,88
SC12,10/28/2023,6210,6210,6210,6210,89
SC12,10/29/2023,6370,6370,6370,6370,90
SC12,10/30/2023,5921,5921,5921,5921,91
SC12,10/31/2023,8055,8055,8055,8055,92
SC12,11/1/2023,16245,16245,16245,16245,93
SC12,11/2/2023,16526,16526,16526,16526,94
SC12,11/3/2023,8863,8863,8863,8863,95
SC12,11/4/2023,7107,7107,7107,7107,96
SC12,11/5/2023,6672,6672,6672,6672,97
SC12,11/6/2023,6271,6271,6271,6271,98
SC12,11/7/2023,6834,6834,6834,6834,99
SC12,11/8/2023,6610,6610,6610,6610,100
SC12,11/9/2023,6563,6563,6563,6563,101
SC12,11/10/2023,8769,8769,8769,8769,102
SC12,11/11/2023,20634,20634,20634,20634,103
SC12,11/12/2023,15744,15744,15744,15744,104
SC12,11/13/2023,4786,4786,4786,4786,105
SC12,11/14/2023,4020,4020,4020,4020,106
SC12,11/15/2023,3900,3900,3900,3900,107
SC12,11/16/2023,3843,3843,3843,3843,108
SC12,11/17/2023,3638,3638,3638,3638,109
SC12,11/18/2023,4567,4567,4567,4567,110
SC12,11/19/2023,3861,3861,3861,3861,111
SC12,11/20/2023,4073,4073,4073,4073,112
SC12,11/21/2023,4222,4222,4222,4222,113
SC12,11/22/2023,4249,4249,4249,4249,114
SC12,11/23/2023,4273,4273,4273,4273,115
SC12,11/24/2023,4320,4320,4320,4320,116
SC12,11/25/2023,4153,4153,4153,4153,117
SC12,11/26/2023,4130,4130,4130,4130,118
SC12,11/27/2023,4348,4348,4348,4348,119
SC12,11/28/2023,4329,4329,4329,4329,120
SC12,11/29/2023,4285,4285,4285,4285,121
SC12,11/30/2023,4049,4049,4049,4049,122
SC14,8/1/2023,3096,,,,1
SC14,8/2/2023,2229,2229,2229,2229,2
SC14,8/3/2023,2181,2181,2181,2181,3
SC14,8/4/2023,1789,1789,1789,1789,4
SC14,8/5/2023,1576,1576,1576,1576,5
SC14,8/6/2023,1333,1333,1333,1333,6
SC14,8/7/2023,1784,1784,1784,1784,7
SC14,8/8/2023,1547,1547,1547,1547,8
SC14,8/9/2023,1644,1644,1644,1644,9
SC14,8/10/2023,1728,1728,1728,1728,10
SC14,8/11/2023,1572,1572,1572,1572,11
SC14,8/12/2023,1408,1408,1408,1408,12
SC14,8/13/2023,1538,1538,1538,1538,13
SC14,8/14/2023,1573,1573,1573,1573,14
SC14,8/15/2023,1571,1571,1571,1571,15
SC14,8/16/2023,1659,1659,1659,1659,16
SC14,8/17/2023,1594,1594,1594,1594,17
SC14,8/18/2023,1462,1462,1462,1462,18
SC14,8/19/2023,1368,1368,1368,1368,19
SC14,8/20/2023,1359,1359,1359,1359,20
SC14,8/21/2023,1393,1393,1393,1393,21
SC14,8/22/2023,1517,1517,1517,1517,22
SC14,8/23/2023,1450,1450,1450,1450,23
SC14,8/24/2023,1469,1469,1469,1469,24
SC14,8/25/2023,1477,1477,1477,1477,25
SC14,8/26/2023,1496,1496,1496,1496,26
SC14,8/27/2023,1627,1627,1627,1627,27
SC14,8/28/2023,1832,1832,1832,1832,28
SC14,8/29/2023,1993,1993,1993,1993,29
SC14,8/30/2023,1900,1900,1900,1900,30
SC14,8/31/2023,1773,1773,1773,1773,31
SC14,9/1/2023,1461,1461,1461,1461,32
SC14,9/2/2023,1358,1358,1358,1358,33
SC14,9/3/2023,1403,1403,1403,1403,34
SC14,9/4/2023,1455,1455,1455,1455,35
SC14,9/5/2023,1032,1032,1032,1032,36
SC14,9/6/2023,1273,1273,1273,1273,37
SC14,9/7/2023,1125,1125,1125,1125,38
SC14,9/8/2023,1186,1186,1186,1186,39
SC14,9/9/2023,1115,1115,1115,1115,40
SC14,9/10/2023,1267,1267,1267,1267,41
SC14,9/11/2023,1598,1598,1598,1598,42
SC14,9/12/2023,1365,1365,1365,1365,43
SC14,9/13/2023,1322,1322,1322,1322,44
SC14,9/14/2023,1486,1486,1486,1486,45
SC14,9/15/2023,1475,1475,1475,1475,46
SC14,9/16/2023,1729,1729,1729,1729,47
SC14,9/17/2023,1698,1698,1698,1698,48
SC14,9/18/2023,1981,1981,1981,1981,49
SC14,9/19/2023,1730,1730,1730,1730,50
SC14,9/20/2023,1716,1716,1716,1716,51
SC14,9/21/2023,1768,1768,1768,1768,52
SC14,9/22/2023,1865,1865,1865,1865,53
SC14,9/23/2023,1796,1796,1796,1796,54
SC14,9/24/2023,1723,1723,1723,1723,55
SC14,9/25/2023,1869,1869,1869,1869,56
SC14,9/26/2023,1631,1631,1631,1631,57
SC14,9/27/2023,1368,1368,1368,1368,58
SC14,9/28/2023,1675,1675,1675,1675,59
SC14,9/29/2023,1758,1758,1758,1758,60
SC14,9/30/2023,1768,1768,1768,1768,61
SC14,10/1/2023,1601,1601,1601,1601,62
SC14,10/2/2023,1299,1299,1299,1299,63
SC14,10/3/2023,1202,1202,1202,1202,64
SC14,10/4/2023,1212,1212,1212,1212,65
SC14,10/5/2023,1138,1138,1138,1138,66
SC14,10/6/2023,1118,1118,1118,1118,67
SC14,10/7/2023,1097,1097,1097,1097,68
SC14,10/8/2023,1010,1010,1010,1010,69
SC14,10/9/2023,1114,1114,1114,1114,70
SC14,10/10/2023,1068,1068,1068,1068,71
SC14,10/11/2023,1022,1022,1022,1022,72
SC14,10/12/2023,1369,1369,1369,1369,73
SC14,10/13/2023,1268,1268,1268,1268,74
SC14,10/14/2023,1242,1242,1242,1242,75
SC14,10/15/2023,1254,1254,1254,1254,76
SC14,10/16/2023,1448,1448,1448,1448,77
SC14,10/17/2023,1321,1321,1321,1321,78
SC14,10/18/2023,1447,1447,1447,1447,79
SC14,10/19/2023,1262,1262,1262,1262,80
SC14,10/20/2023,1299,1299,1299,1299,81
SC14,10/21/2023,1318,1318,1318,1318,82
SC14,10/22/2023,1254,1254,1254,1254,83
SC14,10/23/2023,1397,1397,1397,1397,84
SC14,10/24/2023,1491,1491,1491,1491,85
SC14,10/25/2023,1535,1535,1535,1535,86
SC14,10/26/2023,1432,1432,1432,1432,87
SC14,10/27/2023,1430,1430,1430,1430,88
SC14,10/28/2023,1357,1357,1357,1357,89
SC14,10/29/2023,1254,1254,1254,1254,90
SC14,10/30/2023,1690,1690,1690,1690,91
SC14,10/31/2023,1669,1669,1669,1669,92
SC14,11/1/2023,1513,1513,1513,1513,93
SC14,11/2/2023,1661,1661,1661,1661,94
SC14,11/3/2023,1593,1593,1593,1593,95
SC14,11/4/2023,1195,1195,1195,1195,96
SC14,11/5/2023,1152,1152,1152,1152,97
SC14,11/6/2023,1301,1301,1301,1301,98
SC14,11/7/2023,1252,1252,1252,1252,99
SC14,11/8/2023,1154,1154,1154,1154,100
SC14,11/9/2023,1226,1226,1226,1226,101
SC14,11/10/2023,1376,1376,1376,1376,102
SC14,11/11/2023,1521,1521,1521,1521,103
SC14,11/12/2023,1575,1575,1575,1575,104
SC14,11/13/2023,1360,1360,1360,1360,105
SC14,11/14/2023,1396,1396,1396,1396,106
SC14,11/15/2023,1518,1518,1518,1518,107
SC14,11/16/2023,1656,1656,1656,1656,108
SC14,11/17/2023,1695,1695,1695,1695,109
SC14,11/18/2023,1388,1388,1388,1388,110
SC14,11/19/2023,1214,1214,1214,1214,111
SC14,11/20/2023,1382,1382,1382,1382,112
SC14,11/21/2023,1391,1391,1391,1391,113
SC14,11/22/2023,1498,1498,1498,1498,114
SC14,11/23/2023,1473,1473,1473,1473,115
SC14,11/24/2023,1478,1478,1478,1478,116
SC14,11/25/2023,1363,1363,1363,1363,117
SC14,11/26/2023,1392,1392,1392,1392,118
SC14,11/27/2023,1592,1592,1592,1592,119
SC14,11/28/2023,1510,1510,1510,1510,120
SC14,11/29/2023,1653,1653,1653,1653,121
SC14,11/30/2023,1791,1791,1791,1791,122
SC15,8/1/2023,3037,,,,1
SC15,8/2/2023,3240,3240,3240,3240,2
SC15,8/3/2023,3259,3259,3259,3259,3
SC15,8/4/2023,4364,4364,4364,4364,4
SC15,8/5/2023,3376,3376,3376,3376,5
SC15,8/6/2023,3114,3114,3114,3114,6
SC15,8/7/2023,3306,3306,3306,3306,7
SC15,8/8/2023,3203,3203,3203,3203,8
SC15,8/9/2023,3536,3536,3536,3536,9
SC15,8/10/2023,3884,3884,3884,3884,10
SC15,8/11/2023,4137,4137,4137,4137,11
SC15,8/12/2023,3679,3679,3679,3679,12
SC15,8/13/2023,3566,3566,3566,3566,13
SC15,8/14/2023,3374,3374,3374,3374,14
SC15,8/15/2023,3962,3962,3962,3962,15
SC15,8/16/2023,3954,3954,3954,3954,16
SC15,8/17/2023,4535,4535,4535,4535,17
SC15,8/18/2023,4295,4295,4295,4295,18
SC15,8/19/2023,4460,4460,4460,4460,19
SC15,8/20/2023,3705,3705,3705,3705,20
SC15,8/21/2023,3925,3925,3925,3925,21
SC15,8/22/2023,4264,4264,4264,4264,22
SC15,8/23/2023,4595,4595,4595,4595,23
SC15,8/24/2023,4501,4501,4501,4501,24
SC15,8/25/2023,4467,4467,4467,4467,25
SC15,8/26/2023,4231,4231,4231,4231,26
SC15,8/27/2023,4406,4406,4406,4406,27
SC15,8/28/2023,3799,3799,3799,3799,28
SC15,8/29/2023,4536,4536,4536,4536,29
SC15,8/30/2023,4373,4373,4373,4373,30
SC15,8/31/2023,4382,4382,4382,4382,31
SC15,9/1/2023,4533,4533,4533,4533,32
SC15,9/2/2023,3784,3784,3784,3784,33
SC15,9/3/2023,4046,4046,4046,4046,34
SC15,9/4/2023,3558,3558,3558,3558,35
SC15,9/5/2023,3395,3395,3395,3395,36
SC15,9/6/2023,3787,3787,3787,3787,37
SC15,9/7/2023,3758,3758,3758,3758,38
SC15,9/8/2023,4519,4519,4519,4519,39
SC15,9/9/2023,4547,4547,4547,4547,40
SC15,9/10/2023,3647,3647,3647,3647,41
SC15,9/11/2023,3543,3543,3543,3543,42
SC15,9/12/2023,4271,4271,4271,4271,43
SC15,9/13/2023,4266,4266,4266,4266,44
SC15,9/14/2023,3830,3830,3830,3830,45
SC15,9/15/2023,3960,3960,3960,3960,46
SC15,9/16/2023,4234,4234,4234,4234,47
SC15,9/17/2023,3918,3918,3918,3918,48
SC15,9/18/2023,3471,3471,3471,3471,49
SC15,9/19/2023,3120,3120,3120,3120,50
SC15,9/20/2023,4566,4566,4566,4566,51
SC15,9/21/2023,4481,4481,4481,4481,52
SC15,9/22/2023,4394,4394,4394,4394,53
SC15,9/23/2023,3441,3441,3441,3441,54
SC15,9/24/2023,3287,3287,3287,3287,55
SC15,9/25/2023,3868,3868,3868,3868,56
SC15,9/26/2023,5163,5163,5163,5163,57
SC15,9/27/2023,5063,5063,5063,5063,58
SC15,9/28/2023,4424,4424,4424,4424,59
SC15,9/29/2023,3883,3883,3883,3883,60
SC15,9/30/2023,3217,3217,3217,3217,61
SC15,10/1/2023,2587,2587,2587,2587,62
SC15,10/2/2023,2295,2295,2295,2295,63
SC15,10/3/2023,2619,2619,2619,2619,64
SC15,10/4/2023,2277,2277,2277,2277,65
SC15,10/5/2023,2866,2866,2866,2866,66
SC15,10/6/2023,3280,3280,3280,3280,67
SC15,10/7/2023,3074,3074,3074,3074,68
SC15,10/8/2023,4266,4266,4266,4266,69
SC15,10/9/2023,3977,3977,3977,3977,70
SC15,10/10/2023,4483,4483,4483,4483,71
