warehouse name,date,storage,next_day_storage,lstm,mamba,count
SC01,2024-03-18,39122,39122.0,37936.0,38892.0,43
SC01,2024-03-19,43296,43296.0,47784.0,38592.0,44
SC01,2024-03-20,43579,43579.0,42908.0,46051.0,45
SC01,2024-03-21,42150,42150.0,39898.0,40094.0,46
SC01,2024-03-22,43131,43131.0,41835.0,38397.0,47
SC01,2024-03-23,40851,40851.0,42198.0,42453.0,48
SC01,2024-03-24,41287,41287.0,44266.0,37368.0,49
SC01,2024-03-25,43304,43304.0,47338.0,44770.0,50
SC01,2024-03-26,45579,45579.0,50500.0,44166.0,51
SC01,2024-03-27,47715,47715.0,48392.0,43026.0,52
SC01,2024-03-28,47240,47240.0,46375.0,46441.0,53
SC01,2024-03-29,47051,47051.0,43733.0,51516.0,54
SC01,2024-03-30,48767,48767.0,44340.0,46864.0,55
SC01,2024-03-31,45919,45919.0,46173.0,48759.0,56
SC01,2024-04-01,49085,49085.0,47657.0,51987.0,57
SC01,2024-04-02,47858,47858.0,45945.0,49924.0,58
SC01,2024-04-03,42365,42365.0,44658.0,42207.0,59
SC01,2024-04-04,35506,35506.0,36944.0,33535.0,60
SC01,2024-04-05,31313,31313.0,32914.0,29972.0,61
SC01,2024-04-06,30105,30105.0,26064.0,33857.0,62
SC01,2024-04-07,26567,26567.0,22255.0,24297.0,63
SC01,2024-04-08,27154,27154.0,28525.0,23869.0,64
SC01,2024-04-09,27801,27801.0,23839.0,25970.0,65
SC01,2024-04-10,32019,32019.0,30936.0,35649.0,66
SC01,2024-04-11,32791,32791.0,30758.0,33416.0,67
SC01,2024-04-12,37052,37052.0,40135.0,38053.0,68
SC01,2024-04-13,41362,41362.0,43450.0,41366.0,69
SC01,2024-04-14,38656,38656.0,36784.0,33979.0,70
SC01,2024-04-15,38319,38319.0,39220.0,34724.0,71
SC01,2024-04-16,39627,39627.0,40481.0,35403.0,72
SC01,2024-04-17,41885,41885.0,43158.0,40023.0,73
SC01,2024-04-18,41697,41697.0,43287.0,37769.0,74
SC01,2024-04-19,39689,39689.0,36403.0,40666.0,75
SC01,2024-04-20,38619,38619.0,35721.0,34554.0,76
SC01,2024-04-21,36954,36954.0,32281.0,37936.0,77
SC01,2024-04-22,40750,40750.0,39993.0,43479.0,78
SC01,2024-04-23,43666,43666.0,44543.0,43741.0,79
SC01,2024-04-24,42066,42066.0,43680.0,41720.0,80
SC01,2024-04-25,49307,49307.0,49167.0,44327.0,81
SC01,2024-04-26,43694,43694.0,43862.0,43335.0,82
SC01,2024-04-27,39941,39941.0,41856.0,39028.0,83
SC01,2024-04-28,42015,42015.0,38110.0,42708.0,84
SC01,2024-04-29,69918,69918.0,66569.0,67079.0,85
SC01,2024-04-30,61167,61167.0,57453.0,66123.0,86
SC01,2024-05-01,55018,55018.0,59453.0,58062.0,87
SC01,2024-05-02,55915,55915.0,59789.0,55812.0,88
SC01,2024-05-03,53443,53443.0,55486.0,55418.0,89
SC01,2024-05-04,48554,48554.0,53414.0,45120.0,90
SC01,2024-05-05,44495,44495.0,44728.0,41352.0,91
SC01,2024-05-06,49178,49178.0,50667.0,51740.0,92
SC01,2024-05-07,102030,102030.0,103050.0,99914.0,93
SC01,2024-05-08,87732,87732.0,86804.0,89308.0,94
SC01,2024-05-09,69025,69025.0,68988.0,65812.0,95
SC01,2024-05-10,61433,61433.0,57740.0,61699.0,96
SC01,2024-05-11,56707,56707.0,52672.0,52669.0,97
SC01,2024-05-12,57491,57491.0,57098.0,58553.0,98
SC01,2024-05-13,57672,57672.0,53226.0,60556.0,99
SC01,2024-05-14,62365,62365.0,61815.0,66286.0,100
SC01,2024-05-15,58697,58697.0,61165.0,57483.0,101
SC01,2024-05-16,57044,57044.0,55333.0,57746.0,102
SC01,2024-05-17,107715,107715.0,106357.0,104102.0,103
SC01,2024-05-18,99577,99577.0,102460.0,95352.0,104
SC01,2024-05-19,73365,73365.0,72606.0,72534.0,105
SC01,2024-05-20,58689,58689.0,53979.0,57892.0,106
SC01,2024-05-21,53282,53282.0,50874.0,57685.0,107
SC01,2024-05-22,51085,51085.0,50620.0,48459.0,108
SC01,2024-05-23,50218,50218.0,53996.0,49696.0,109
SC01,2024-05-24,46956,46956.0,44365.0,42970.0,110
SC01,2024-05-25,43396,43396.0,40862.0,44970.0,111
SC01,2024-05-26,42414,42414.0,46337.0,42984.0,112
SC01,2024-05-27,45994,45994.0,42682.0,41991.0,113
SC01,2024-05-28,45352,45352.0,47613.0,42831.0,114
SC01,2024-05-29,45169,45169.0,47974.0,49356.0,115
SC01,2024-05-30,44719,44719.0,47699.0,48298.0,116
SC01,2024-05-31,44496,44496.0,44586.0,39904.0,117
SC01,2024-06-01,42879,42879.0,39129.0,45544.0,118
SC01,2024-06-02,41085,41085.0,43978.0,44655.0,119
SC01,2024-06-03,44200,44200.0,45810.0,40087.0,120
SC01,2024-06-04,45217,45217.0,47921.0,40385.0,121
SC01,2024-06-05,45707,45707.0,50610.0,41493.0,122
SC10,2024-02-05,19533,,,,1
SC10,2024-02-06,20483,20483.0,18462.0,18799.0,2
SC10,2024-02-07,20768,20768.0,24514.0,21073.0,3
SC10,2024-02-08,20166,20166.0,17836.0,22475.0,4
SC10,2024-02-09,21161,21161.0,25790.0,21714.0,5
SC10,2024-02-10,19716,19716.0,19919.0,19618.0,6
SC10,2024-02-11,19273,19273.0,19723.0,19366.0,7
SC10,2024-02-12,19756,19756.0,19913.0,19741.0,8
SC10,2024-02-13,21234,21234.0,20538.0,18271.0,9
SC10,2024-02-14,20821,20821.0,21394.0,17753.0,10
SC10,2024-02-15,20911,20911.0,18843.0,19492.0,11
SC10,2024-02-16,20578,20578.0,16508.0,17532.0,12
SC10,2024-02-17,19260,19260.0,19091.0,19534.0,13
SC10,2024-02-18,19200,19200.0,19169.0,19307.0,14
SC10,2024-02-19,20453,20453.0,22030.0,17656.0,15
SC10,2024-02-20,22603,22603.0,23770.0,27417.0,16
SC10,2024-02-21,21988,21988.0,26859.0,20312.0,17
SC10,2024-02-22,23710,23710.0,19734.0,23493.0,18
SC10,2024-02-23,24223,24223.0,23784.0,26907.0,19
SC10,2024-02-24,21915,21915.0,22079.0,25064.0,20
SC10,2024-02-25,21599,21599.0,19509.0,20225.0,21
SC10,2024-02-26,22825,22825.0,19763.0,27160.0,22
SC10,2024-02-27,22108,22108.0,26919.0,20027.0,23
SC10,2024-02-28,22048,22048.0,23973.0,19291.0,24
SC10,2024-02-29,23200,23200.0,25388.0,24130.0,25
SC10,2024-03-01,22670,22670.0,21213.0,21219.0,26
SC10,2024-03-02,23390,23390.0,27886.0,25421.0,27
SC10,2024-03-03,22531,22531.0,24317.0,25102.0,28
SC10,2024-03-04,24233,24233.0,27839.0,20330.0,29
SC10,2024-03-05,24273,24273.0,26241.0,27993.0,30
SC10,2024-03-06,25541,25541.0,20878.0,24057.0,31
SC10,2024-03-07,25605,25605.0,28727.0,29036.0,32
SC10,2024-03-08,26602,26602.0,28629.0,31502.0,33
SC10,2024-03-09,24753,24753.0,21052.0,24348.0,34
SC10,2024-03-10,23238,23238.0,24946.0,21284.0,35
SC10,2024-03-11,25825,25825.0,28480.0,21215.0,36
SC10,2024-03-12,26200,26200.0,22372.0,25656.0,37
SC10,2024-03-13,25857,25857.0,24611.0,26165.0,38
SC10,2024-03-14,25254,25254.0,28201.0,28442.0,39
SC10,2024-03-15,25070,25070.0,27393.0,20442.0,40
SC10,2024-03-16,23297,23297.0,24157.0,22069.0,41
SC10,2024-03-17,22073,22073.0,23558.0,17607.0,42
SC10,2024-03-18,24180,24180.0,26520.0,19788.0,43
SC10,2024-03-19,25809,25809.0,30484.0,29829.0,44
SC10,2024-03-20,25149,25149.0,27112.0,27340.0,45
SC10,2024-03-21,25750,25750.0,29998.0,30125.0,46
SC10,2024-03-22,25489,25489.0,27422.0,21625.0,47
SC10,2024-03-23,24913,24913.0,29646.0,27041.0,48
SC10,2024-03-24,24496,24496.0,27700.0,22157.0,49
SC10,2024-03-25,25383,25383.0,30264.0,28286.0,50
SC10,2024-03-26,28749,28749.0,32817.0,29833.0,51
SC10,2024-03-27,29149,29149.0,32507.0,25668.0,52
SC10,2024-03-28,28720,28720.0,27669.0,29077.0,53
SC10,2024-03-29,32594,32594.0,33730.0,31282.0,54
SC10,2024-03-30,31112,31112.0,32398.0,27058.0,55
SC10,2024-03-31,29238,29238.0,30735.0,33963.0,56
SC10,2024-04-01,31735,31735.0,32327.0,33674.0,57
SC10,2024-04-02,33244,33244.0,31639.0,32181.0,58
SC10,2024-04-03,29798,29798.0,26568.0,32479.0,59
SC10,2024-04-04,28590,28590.0,30502.0,28040.0,60
SC10,2024-04-05,23604,23604.0,28524.0,21790.0,61
SC10,2024-04-06,19562,19562.0,19815.0,19662.0,62
SC10,2024-04-07,20713,20713.0,21046.0,22094.0,63
SC10,2024-04-08,22581,22581.0,20142.0,20696.0,64
SC10,2024-04-09,22961,22961.0,24995.0,26070.0,65
SC10,2024-04-10,25194,25194.0,29606.0,26603.0,66
SC10,2024-04-11,26844,26844.0,23620.0,28276.0,67
SC10,2024-04-12,31103,31103.0,32341.0,32548.0,68
SC10,2024-04-13,29053,29053.0,24330.0,24145.0,69
SC10,2024-04-14,29406,29406.0,31196.0,32368.0,70
SC10,2024-04-15,29141,29141.0,32813.0,28514.0,71
SC10,2024-04-16,29914,29914.0,27626.0,31505.0,72
SC10,2024-04-17,28094,28094.0,26583.0,23170.0,73
SC10,2024-04-18,30385,30385.0,26928.0,34706.0,74
SC10,2024-04-19,31416,31416.0,36145.0,28929.0,75
SC10,2024-04-20,29662,29662.0,26834.0,29974.0,76
SC10,2024-04-21,31044,31044.0,35491.0,33349.0,77
SC10,2024-04-22,32167,32167.0,32217.0,33848.0,78
SC10,2024-04-23,34503,34503.0,32234.0,36797.0,79
SC10,2024-04-24,34279,34279.0,37388.0,30184.0,80
SC10,2024-04-25,34464,34464.0,38081.0,31373.0,81
SC10,2024-04-26,33897,33897.0,36706.0,37443.0,82
SC10,2024-04-27,33256,33256.0,36217.0,34531.0,83
SC10,2024-04-28,34390,34390.0,30495.0,30256.0,84
SC10,2024-04-29,38214,38214.0,36287.0,37279.0,85
SC10,2024-04-30,42661,42661.0,40179.0,39329.0,86
SC10,2024-05-01,39431,39431.0,38017.0,42962.0,87
SC10,2024-05-02,38084,38084.0,42355.0,37847.0,88
SC10,2024-05-03,39733,39733.0,36607.0,38171.0,89
SC10,2024-05-04,35983,35983.0,40550.0,37196.0,90
SC10,2024-05-05,35811,35811.0,37892.0,38763.0,91
SC10,2024-05-06,39608,39608.0,42672.0,40848.0,92
SC10,2024-05-07,56065,56065.0,55204.0,58205.0,93
SC10,2024-05-08,56182,56182.0,60108.0,54105.0,94
SC10,2024-05-09,52988,52988.0,54984.0,51169.0,95
SC10,2024-05-10,45587,45587.0,48464.0,45795.0,96
SC10,2024-05-11,37583,37583.0,34473.0,38042.0,97
SC10,2024-05-12,36970,36970.0,40412.0,36782.0,98
SC10,2024-05-13,41142,41142.0,41125.0,45975.0,99
SC10,2024-05-14,38895,38895.0,41945.0,40296.0,100
SC10,2024-05-15,39553,39553.0,42457.0,44223.0,101
SC10,2024-05-16,42631,42631.0,40591.0,38859.0,102
SC10,2024-05-17,62147,62147.0,62451.0,63882.0,103
SC10,2024-05-18,65150,65150.0,64128.0,60235.0,104
SC10,2024-05-19,57625,57625.0,58630.0,53395.0,105
SC10,2024-05-20,54883,54883.0,49927.0,53032.0,106
SC10,2024-05-21,44352,44352.0,44630.0,46906.0,107
SC10,2024-05-22,44099,44099.0,45469.0,44691.0,108
SC10,2024-05-23,45782,45782.0,49354.0,48207.0,109
SC10,2024-05-24,42261,42261.0,46869.0,38888.0,110
SC10,2024-05-25,39593,39593.0,44006.0,42955.0,111
SC10,2024-05-26,42166,42166.0,43910.0,46205.0,112
SC10,2024-05-27,43146,43146.0,38699.0,42324.0,113
SC10,2024-05-28,42839,42839.0,46225.0,46306.0,114
SC10,2024-05-29,43155,43155.0,46341.0,45808.0,115
SC10,2024-05-30,41172,41172.0,42409.0,44469.0,116
SC10,2024-05-31,38895,38895.0,34644.0,34532.0,117
SC10,2024-06-01,39039,39039.0,40663.0,44015.0,118
SC10,2024-06-02,37856,37856.0,40447.0,39424.0,119
SC10,2024-06-03,38005,38005.0,40973.0,38861.0,120
SC10,2024-06-04,40407,40407.0,35977.0,44536.0,121
SC10,2024-06-05,39418,39418.0,43200.0,43419.0,122
SC12,2024-02-05,3408,,,,1
SC12,2024-02-06,3663,3663.0,3747.0,3760.0,2
SC12,2024-02-07,3710,3710.0,3892.0,3892.0,3
SC12,2024-02-08,3592,3592.0,3132.0,3183.0,4
SC12,2024-02-09,3379,3379.0,2933.0,3562.0,5
SC12,2024-02-10,3361,3361.0,3112.0,3011.0,6
SC12,2024-02-11,3475,3475.0,3193.0,3599.0,7
SC12,2024-02-12,3784,3784.0,3374.0,4217.0,8
SC12,2024-02-13,4204,4204.0,4510.0,4565.0,9
SC12,2024-02-14,3699,3699.0,4164.0,3342.0,10
SC12,2024-02-15,3690,3690.0,3762.0,3873.0,11
SC12,2024-02-16,3341,3341.0,2988.0,2846.0,12
SC12,2024-02-17,3175,3175.0,3329.0,2811.0,13
SC12,2024-02-18,3757,3757.0,3691.0,3692.0,14
SC12,2024-02-19,3201,3201.0,3681.0,2889.0,15
SC12,2024-02-20,4768,4768.0,4343.0,4382.0,16
SC12,2024-02-21,3886,3886.0,3481.0,4189.0,17
SC12,2024-02-22,3909,3909.0,3650.0,4400.0,18
SC12,2024-02-23,3882,3882.0,4239.0,3641.0,19
SC12,2024-02-24,3817,3817.0,3866.0,3519.0,20
SC12,2024-02-25,4148,4148.0,4321.0,4003.0,21
SC12,2024-02-26,3986,3986.0,3596.0,4095.0,22
SC12,2024-02-27,3985,3985.0,3629.0,4485.0,23
SC12,2024-02-28,4076,4076.0,3857.0,3828.0,24
SC12,2024-02-29,4487,4487.0,4823.0,4890.0,25
SC12,2024-03-01,4436,4436.0,4368.0,4046.0,26
SC12,2024-03-02,4045,4045.0,3661.0,3907.0,27
SC12,2024-03-03,4383,4383.0,4879.0,4800.0,28
SC12,2024-03-04,3954,3954.0,4264.0,3764.0,29
SC12,2024-03-05,3954,3954.0,4266.0,3892.0,30
SC12,2024-03-06,4028,4028.0,3915.0,4256.0,31
SC12,2024-03-07,4216,4216.0,4118.0,4701.0,32
SC12,2024-03-08,3981,3981.0,4281.0,3740.0,33
SC12,2024-03-09,3781,3781.0,3309.0,4121.0,34
SC12,2024-03-10,3917,3917.0,3636.0,3993.0,35
SC12,2024-03-11,4729,4729.0,4745.0,4510.0,36
SC12,2024-03-12,4495,4495.0,3995.0,4645.0,37
SC12,2024-03-13,3974,3974.0,4059.0,4183.0,38
SC12,2024-03-14,4104,4104.0,3864.0,4362.0,39
SC12,2024-03-15,3740,3740.0,3612.0,3767.0,40
SC12,2024-03-16,3726,3726.0,4224.0,3570.0,41
SC12,2024-03-17,3849,3849.0,4241.0,3417.0,42
SC12,2024-03-18,4188,4188.0,4292.0,4391.0,43
SC12,2024-03-19,3864,3864.0,4163.0,3416.0,44
SC12,2024-03-20,4067,4067.0,3793.0,3835.0,45
SC12,2024-03-21,3989,3989.0,3926.0,3780.0,46
SC12,2024-03-22,3725,3725.0,3558.0,3988.0,47
SC12,2024-03-23,3871,3871.0,3444.0,4132.0,48
SC12,2024-03-24,4039,4039.0,3568.0,3852.0,49
SC12,2024-03-25,465,465.0,929.0,191.0,50
SC12,2024-03-26,6310,6310.0,6420.0,6551.0,51
SC12,2024-03-27,4828,4828.0,5019.0,4427.0,52
SC12,2024-03-28,3924,3924.0,4127.0,4005.0,53
SC12,2024-03-29,3678,3678.0,3237.0,3804.0,54
SC12,2024-03-30,3753,3753.0,3520.0,3508.0,55
SC12,2024-03-31,3915,3915.0,3737.0,3439.0,56
SC12,2024-04-01,3852,3852.0,4292.0,3541.0,57
SC12,2024-04-02,3506,3506.0,3022.0,3234.0,58
SC12,2024-04-03,3338,3338.0,3730.0,3415.0,59
SC12,2024-04-04,3069,3069.0,3093.0,3108.0,60
SC12,2024-04-05,3202,3202.0,3547.0,2726.0,61
SC12,2024-04-06,3262,3262.0,3656.0,3706.0,62
SC12,2024-04-07,3075,3075.0,3175.0,3213.0,63
SC12,2024-04-08,3245,3245.0,3109.0,2877.0,64
SC12,2024-04-09,3475,3475.0,3056.0,3321.0,65
SC12,2024-04-10,3777,3777.0,4106.0,3417.0,66
SC12,2024-04-11,3993,3993.0,4439.0,4422.0,67
SC12,2024-04-12,4514,4514.0,4510.0,4024.0,68
SC12,2024-04-13,4498,4498.0,4879.0,4507.0,69
SC12,2024-04-14,4329,4329.0,4220.0,4051.0,70
SC12,2024-04-15,4134,4134.0,4086.0,4372.0,71
SC12,2024-04-16,4072,4072.0,3648.0,3745.0,72
SC12,2024-04-17,3887,3887.0,4370.0,3481.0,73
SC12,2024-04-18,4140,4140.0,4053.0,3936.0,74
SC12,2024-04-19,3942,3942.0,4117.0,4321.0,75
SC12,2024-04-20,3535,3535.0,3275.0,3968.0,76
SC12,2024-04-21,4847,4847.0,4449.0,5179.0,77
SC12,2024-04-22,4219,4219.0,4133.0,3985.0,78
SC12,2024-04-23,4125,4125.0,3950.0,4085.0,79
SC12,2024-04-24,3970,3970.0,4410.0,4084.0,80
SC12,2024-04-25,4133,4133.0,4148.0,3863.0,81
SC12,2024-04-26,3677,3677.0,4172.0,3791.0,82
SC12,2024-04-27,3362,3362.0,3213.0,2975.0,83
SC12,2024-04-28,3690,3690.0,3355.0,3484.0,84
SC12,2024-04-29,12461,12461.0,12235.0,12107.0,85
SC12,2024-04-30,7633,7633.0,7551.0,7840.0,86
SC12,2024-05-01,6929,6929.0,6608.0,7053.0,87
SC12,2024-05-02,6161,6161.0,5937.0,6505.0,88
SC12,2024-05-03,6210,6210.0,5769.0,6418.0,89
SC12,2024-05-04,6370,6370.0,6316.0,6087.0,90
SC12,2024-05-05,5921,5921.0,5775.0,5985.0,91
SC12,2024-05-06,8055,8055.0,8268.0,7742.0,92
SC12,2024-05-07,16245,16245.0,16685.0,16577.0,93
SC12,2024-05-08,16526,16526.0,16433.0,16789.0,94
SC12,2024-05-09,8863,8863.0,8552.0,8566.0,95
SC12,2024-05-10,7107,7107.0,7406.0,7094.0,96
SC12,2024-05-11,6672,6672.0,6852.0,6422.0,97
SC12,2024-05-12,6271,6271.0,6485.0,6673.0,98
SC12,2024-05-13,6834,6834.0,7073.0,7243.0,99
SC12,2024-05-14,6610,6610.0,6111.0,6244.0,100
SC12,2024-05-15,6563,6563.0,6769.0,6858.0,101
SC12,2024-05-16,8769,8769.0,8958.0,8421.0,102
SC12,2024-05-17,20634,20634.0,22634.0,18460.0,103
SC12,2024-05-18,15744,15744.0,15631.0,15490.0,104
SC12,2024-05-19,4786,4786.0,4759.0,5192.0,105
SC12,2024-05-20,4020,4020.0,4479.0,3779.0,106
SC12,2024-05-21,3900,3900.0,4113.0,3976.0,107
SC12,2024-05-22,3843,3843.0,3675.0,4045.0,108
SC12,2024-05-23,3638,3638.0,3976.0,3738.0,109
SC12,2024-05-24,4567,4567.0,4403.0,4515.0,110
SC12,2024-05-25,3861,3861.0,4180.0,3542.0,111
SC12,2024-05-26,4073,4073.0,3789.0,3721.0,112
SC12,2024-05-27,4222,4222.0,4508.0,4722.0,113
SC12,2024-05-28,4249,4249.0,4628.0,4391.0,114
SC12,2024-05-29,4273,4273.0,3870.0,4482.0,115
SC12,2024-05-30,4320,4320.0,4611.0,4804.0,116
SC12,2024-05-31,4153,4153.0,4400.0,3714.0,117
SC12,2024-06-01,4130,4130.0,3650.0,3691.0,118
SC12,2024-06-02,4348,4348.0,4799.0,4637.0,119
SC12,2024-06-03,4329,4329.0,4701.0,4447.0,120
SC12,2024-06-04,4285,4285.0,4744.0,4457.0,121
SC12,2024-06-05,4049,4049.0,4266.0,4182.0,122
SC14,2024-02-05,3096,,,,1
SC14,2024-02-06,2229,2229.0,2030.0,2522.0,2
SC14,2024-02-07,2181,2181.0,1884.0,1789.0,3
SC14,2024-02-08,1789,1789.0,1762.0,1819.0,4
SC14,2024-02-09,1576,1576.0,1734.0,1770.0,5
SC14,2024-02-10,1333,1333.0,1006.0,1647.0,6
SC14,2024-02-11,1784,1784.0,1519.0,2158.0,7
SC14,2024-02-12,1547,1547.0,1812.0,2005.0,8
SC14,2024-02-13,1644,1644.0,1258.0,1255.0,9
SC14,2024-02-14,1728,1728.0,1504.0,1891.0,10
SC14,2024-02-15,1572,1572.0,1189.0,1756.0,11
SC14,2024-02-16,1408,1408.0,1651.0,1747.0,12
SC14,2024-02-17,1538,1538.0,1543.0,1822.0,13
SC14,2024-02-18,1573,1573.0,1245.0,2004.0,14
SC14,2024-02-19,1571,1571.0,1758.0,1283.0,15
SC14,2024-02-20,1659,1659.0,1982.0,1231.0,16
SC14,2024-02-21,1594,1594.0,1339.0,1822.0,17
SC14,2024-02-22,1462,1462.0,1369.0,1406.0,18
SC14,2024-02-23,1368,1368.0,910.0,1362.0,19
SC14,2024-02-24,1359,1359.0,1798.0,1103.0,20
SC14,2024-02-25,1393,1393.0,1146.0,1657.0,21
SC14,2024-02-26,1517,1517.0,1024.0,1701.0,22
SC14,2024-02-27,1450,1450.0,1120.0,1357.0,23
SC14,2024-02-28,1469,1469.0,1527.0,1880.0,24
SC14,2024-02-29,1477,1477.0,1107.0,1439.0,25
SC14,2024-03-01,1496,1496.0,1663.0,1446.0,26
SC14,2024-03-02,1627,1627.0,1528.0,1469.0,27
SC14,2024-03-03,1832,1832.0,1746.0,1723.0,28
SC14,2024-03-04,1993,1993.0,2090.0,1655.0,29
SC14,2024-03-05,1900,1900.0,1620.0,2306.0,30
SC14,2024-03-06,1773,1773.0,1408.0,1530.0,31
SC14,2024-03-07,1461,1461.0,1686.0,1751.0,32
SC14,2024-03-08,1358,1358.0,1128.0,1437.0,33
SC14,2024-03-09,1403,1403.0,1476.0,1236.0,34
SC14,2024-03-10,1455,1455.0,1624.0,1640.0,35
SC14,2024-03-11,1032,1032.0,856.0,900.0,36
SC14,2024-03-12,1273,1273.0,960.0,1037.0,37
SC14,2024-03-13,1125,1125.0,687.0,1154.0,38
SC14,2024-03-14,1186,1186.0,834.0,948.0,39
SC14,2024-03-15,1115,1115.0,963.0,929.0,40
SC14,2024-03-16,1267,1267.0,1216.0,1261.0,41
SC14,2024-03-17,1598,1598.0,1236.0,2031.0,42
SC14,2024-03-18,1365,1365.0,1021.0,1666.0,43
SC14,2024-03-19,1322,1322.0,1749.0,863.0,44
SC14,2024-03-20,1486,1486.0,1158.0,1684.0,45
SC14,2024-03-21,1475,1475.0,1319.0,1747.0,46
SC14,2024-03-22,1729,1729.0,1334.0,2101.0,47
SC14,2024-03-23,1698,1698.0,1768.0,1672.0,48
SC14,2024-03-24,1981,1981.0,1540.0,2377.0,49
SC14,2024-03-25,1730,1730.0,1760.0,1327.0,50
SC14,2024-03-26,1716,1716.0,1990.0,1782.0,51
SC14,2024-03-27,1768,1768.0,2178.0,1904.0,52
SC14,2024-03-28,1865,1865.0,1542.0,1938.0,53
SC14,2024-03-29,1796,1796.0,1670.0,2047.0,54
SC14,2024-03-30,1723,1723.0,1668.0,2094.0,55
SC14,2024-03-31,1869,1869.0,1402.0,1658.0,56
SC14,2024-04-01,1631,1631.0,1205.0,1303.0,57
SC14,2024-04-02,1368,1368.0,874.0,1593.0,58
SC14,2024-04-03,1675,1675.0,1381.0,1756.0,59
SC14,2024-04-04,1758,1758.0,2217.0,1401.0,60
SC14,2024-04-05,1768,1768.0,1660.0,1872.0,61
SC14,2024-04-06,1601,1601.0,1624.0,1157.0,62
SC14,2024-04-07,1299,1299.0,1102.0,1418.0,63
SC14,2024-04-08,1202,1202.0,1674.0,1082.0,64
SC14,2024-04-09,1212,1212.0,1173.0,1550.0,65
SC14,2024-04-10,1138,1138.0,1202.0,924.0,66
SC14,2024-04-11,1118,1118.0,895.0,656.0,67
SC14,2024-04-12,1097,1097.0,1438.0,605.0,68
SC14,2024-04-13,1010,1010.0,1409.0,826.0,69
SC14,2024-04-14,1114,1114.0,1479.0,1555.0,70
SC14,2024-04-15,1068,1068.0,702.0,808.0,71
SC14,2024-04-16,1022,1022.0,1038.0,950.0,72
SC14,2024-04-17,1369,1369.0,1654.0,1024.0,73
SC14,2024-04-18,1268,1268.0,1036.0,1622.0,74
SC14,2024-04-19,1242,1242.0,764.0,941.0,75
SC14,2024-04-20,1254,1254.0,860.0,1354.0,76
SC14,2024-04-21,1448,1448.0,1051.0,1662.0,77
SC14,2024-04-22,1321,1321.0,934.0,1439.0,78
SC14,2024-04-23,1447,1447.0,1531.0,1455.0,79
SC14,2024-04-24,1262,1262.0,1139.0,981.0,80
SC14,2024-04-25,1299,1299.0,1395.0,1696.0,81
SC14,2024-04-26,1318,1318.0,1529.0,1166.0,82
SC14,2024-04-27,1254,1254.0,1255.0,1127.0,83
SC14,2024-04-28,1397,1397.0,1659.0,1419.0,84
SC14,2024-04-29,1491,1491.0,1851.0,1445.0,85
SC14,2024-04-30,1535,1535.0,1601.0,1299.0,86
